class,org,org_type,pi_first,pi_sur,pclass,status,owner,end,grant,scheme,start,total
Volcanic Processes,University of Oxford,LEAD ORGANISATION,David,Pyle,,Closed,NERC,11/30/2008,Research Grant,Small Grants (FEC),6/1/2008,24149.36
Multiphase Flow,Sherwood Scientific Ltd,PROJECT PARTNER,Wuqiang,Yang,Process engineering,Closed,EPSRC,5/31/2009,Research Grant,Follow on Fund,6/1/2008,108451.07
Palaeoenvironments,University of Plymouth,LEAD ORGANISATION,Richard,Twitchett,Climate & climate change,Closed,NERC,11/30/2009,Research Grant,Small Grants (FEC),6/1/2008,46264.86
Survey & Monitoring,University of Western Brittany (Université de Bretagne Occidentale),COLLABORATOR,Lloyd Samuel,Peck,Instrument. sensor & detectors,Closed,NERC,1/31/2010,Research Grant,Theme Leader (FEC),6/1/2008,245416.35
Conservation Ecology,NERC Centre for Ecology and Hydrology,LEAD ORGANISATION,Nicholas,Isaac,,Closed,NERC,3/31/2010,Fellowship,Postdoctoral Fellow (FEC),6/1/2008,118886.88
Catalysis & Applied Catalysis,Cardiff University,LEAD ORGANISATION,Neil,McKeown,Catalysis & surfaces,Closed,EPSRC,5/31/2010,Research Grant,Standard Research,6/1/2008,220968.12
Climate & Climate Change,NERC British Antarctic Survey,LEAD ORGANISATION,Davey,Jones,Climate & climate change,Closed,NERC,5/31/2010,Research Grant,AFI (FEC),6/1/2008,9846.69
Instrumentation Eng. & Dev.,University of Edinburgh,LEAD ORGANISATION,Cristina,Flors,Chemical measurement,Closed,EPSRC,9/30/2010,Fellowship,Postdoc Research Fellowship,6/1/2008,264278.26
Beyond the Standard Model,Istituto Nazionale di Fisica Nucleare,COLLABORATOR,Cinzia,Da Viá,Particle physics - experiment,Closed,STFC,11/30/2010,Research Grant,PPRP,6/1/2008,162492.51
Materials Characterisation,Royal Holloway; University of London,LEAD ORGANISATION,J P,Goff,Materials sciences,Closed,EPSRC,4/30/2011,Research Grant,Standard Research,6/1/2008,253826.25
Cosmology,Faculty of Natural Sciences,COLLABORATOR,Peter,Hobson,Particle astrophysics,Closed,STFC,5/31/2011,Research Grant,PPRP,6/1/2008,315763.85
Artificial Intelligence,University of Kent,LEAD ORGANISATION,Jim,Griffin,,Closed,EPSRC,5/31/2011,Research Grant,Standard Research,6/1/2008,11450.55
New & Emerging Comp. Paradigms,University of Essex,LEAD ORGANISATION,Riccardo,Poli,Info. & commun. Technol.,Closed,EPSRC,5/31/2011,Research Grant,Standard Research,6/1/2008,364770.01
Digital Signal Processing,Qinetiq Ltd,PROJECT PARTNER,Jonathon,Chambers,Info. & commun. Technol.,Closed,EPSRC,5/31/2011,Research Grant,Standard Research,6/1/2008,376962.39
Water In The Atmosphere,University of Reading,LEAD ORGANISATION,Leonard,Shaffrey,Atmospheric phys. & chemistry,Closed,NERC,8/31/2011,Research Grant,Consortiums (FEC),6/1/2008,315758.9
System on Chip,University of Warwick,LEAD ORGANISATION,Sadie,Creese,Info. & commun. Technol.,Closed,EPSRC,10/1/2011,Research Grant,Standard Research,6/1/2008,1498471.98
Vision & Senses - ICT appl.,BBSRC,COFUNDER,Peter,McOwan,Info. & commun. Technol.,Closed,EPSRC,11/30/2011,Research Grant,Standard Research,6/1/2008,287391.56
Materials Synthesis & Growth,University of Southampton,LEAD ORGANISATION,Mark,Weller,Materials sciences,Closed,EPSRC,11/30/2011,Research Grant,Standard Research,6/1/2008,317284.14
Biogeochemical Cycles,Plymouth Marine Laboratory,LEAD ORGANISATION,Karen,Tait,,Closed,NERC,11/30/2011,Research Grant,Directed (Research Programmes),6/1/2008,197276.92
Structural Engineering,University of Salford,PROJECT PARTNER,Adrienn,Tomor,,Closed,EPSRC,11/30/2011,Research Grant,First Grant Scheme,6/1/2008,339493.8
Sustainable Energy Vectors,Veolia ES Sheffield Ltd,PROJECT PARTNER,Adisa,Azapagic,Energy,Closed,EPSRC,11/30/2011,Research Grant,Standard Research,6/1/2008,2247704.04
Optoelect. Devices & Circuits,Qinetiq Ltd,PROJECT PARTNER,Thomas,Krauss,Electrical engineering,Closed,EPSRC,11/30/2013,Research Grant,Standard Research,6/1/2008,1155935.25
Theoretical biology,University of York,LEAD ORGANISATION,Susan,Stepney,"Tools, technologies & methods",Closed,EPSRC,12/1/2011,Research Grant,Standard Research,6/2/2008,806662.26
Boundary Layer Meteorology,Met Office,PROJECT PARTNER,Alan,Blyth,Atmospheric phys. & chemistry,Closed,NERC,3/1/2013,Research Grant,Consortiums (FEC),6/2/2008,929920.58
Materials Processing,Imperial College London,LEAD ORGANISATION,Richard,Murphy,Materials processing,Closed,EPSRC,11/25/2011,Research Grant,Technology Programme,6/3/2008,74962.23
Med.Instrument.Device& Equip.,University of Birmingham,LEAD ORGANISATION,Duncan,Shepherd,Medical & health interface,Closed,EPSRC,6/5/2011,Research Grant,Standard Research,6/6/2008,581363.81
Instrumentation Eng. & Dev.,Heriot-Watt University,LEAD ORGANISATION,Weiping,Lu,Chemical measurement,Closed,EPSRC,12/7/2011,Research Grant,Standard Research,6/9/2008,287974.8
Environmental Microbiology,NERC Centre for Ecology and Hydrology,LEAD ORGANISATION,Andrew,Singer,,Closed,NERC,3/12/2012,Research Grant,Knowledge Exchange (FEC),6/13/2008,144675.78
Vision & Senses - ICT appl.,BBSRC,COFUNDER,Alan,Johnston,Info. & commun. Technol.,Closed,EPSRC,11/30/2011,Research Grant,Standard Research,6/17/2008,330794.72
Fundamentals of Computing,Newcastle University,LEAD ORGANISATION,Andrew,Duncan,Info. & commun. Technol.,Closed,EPSRC,12/17/2011,Research Grant,Standard Research,6/18/2008,275402.97
Image & Vision Computing,University of Oxford,LEAD ORGANISATION,Mark,Hankins,Info. & commun. Technol.,Closed,EPSRC,9/18/2011,Research Grant,Standard Research,6/19/2008,346647.28
Condensed Matter Physics,University of York,LEAD ORGANISATION,Irene,D'Amico,"Supercond, magn. &quant.fluids",Closed,EPSRC,6/25/2012,Research Grant,First Grant Scheme,6/26/2008,386251.27
Bioinformatics,University of Nottingham,LEAD ORGANISATION,Nicholas,Monk,,Closed,EPSRC,6/29/2011,Research Grant,Standard Research,6/30/2008,72194.99
Fundamentals of Computing,University of Birmingham,LEAD ORGANISATION,Volker,Sorge,Info. & commun. Technol.,Closed,EPSRC,12/31/2008,Research Grant,Standard Research,7/1/2008,12900
Materials Synthesis & Growth,Advanced Defence Materials,COLLABORATOR,Jon,Binner,Materials sciences,Closed,EPSRC,6/30/2009,Research Grant,Follow on Fund,7/1/2008,107530.18
Lasers & Optics,Swansea University,LEAD ORGANISATION,Catherine,Thornton,"Optics, photonics & lasers",Closed,EPSRC,6/30/2009,Research Grant,Postdoctoral Mobility,7/1/2008,75313.3
Energy - Conventional,Imperial College London,LEAD ORGANISATION,Jonathan,Gibbins,Energy,Closed,EPSRC,2/28/2010,Research Grant,Technology Programme,7/1/2008,97875.67
Lasers & Optics,Delft University of Technology,PROJECT PARTNER,Nigel,Poolton,"Optics, photonics & lasers",Closed,EPSRC,4/30/2010,Research Grant,Standard Research,7/1/2008,311193.95
Materials Characterisation,Rolls Royce Group Plc,COLLABORATOR,Gui Yun,Tian,Materials sciences,Closed,EPSRC,6/30/2010,Research Grant,Standard Research,7/1/2008,91875.14
Optical Devices & Subsystems,Aston University,LEAD ORGANISATION,John,Williams,Electrical engineering,Closed,EPSRC,6/30/2010,Research Grant,Standard Research,7/1/2008,103852.7
Chemical Structure,University of Edinburgh,LEAD ORGANISATION,Carole,Morrison,,Closed,EPSRC,12/31/2010,Research Grant,Standard Research,7/1/2008,293446.04
Algebra & Geometry,Imperial College London,LEAD ORGANISATION,Edward,Segal,,Closed,EPSRC,6/30/2011,Fellowship,Postdoc Research Fellowship,7/1/2008,217189.68
Statistics & Appl. Probability,University of Cambridge,LEAD ORGANISATION,Zoubin,Ghahramani,,Closed,EPSRC,6/30/2011,Research Grant,Standard Research,7/1/2008,255580.87
Catalysis & Applied Catalysis,University of Leeds,LEAD ORGANISATION,Yulong,Ding,Catalysis & surfaces,Closed,EPSRC,6/30/2011,Research Grant,Standard Research,7/1/2008,314577.2
Materials Processing,Cardiff University,LEAD ORGANISATION,John,Macdonald,Materials processing,Closed,EPSRC,6/30/2011,Research Grant,Standard Research,7/1/2008,102580.47
Materials Characterisation,University of St Andrews,LEAD ORGANISATION,Ifor,Samuel,Materials sciences,Closed,EPSRC,6/30/2011,Research Grant,Standard Research,7/1/2008,307957.97
Climate & Climate Change,University of Southampton,LEAD ORGANISATION,Heiko,Pälike,Climate & climate change,Closed,NERC,6/30/2011,Research Grant,Standard Grant (FEC),7/1/2008,264133.94
Sustainable Energy Networks,Cardiff University,LEAD ORGANISATION,Nick,Jenkins,Energy,Closed,EPSRC,9/30/2011,Research Grant,Platform Grants,7/1/2008,471225.82
Radiative Processes & Effects,NERC Centre for Ecology and Hydrology,LEAD ORGANISATION,Carl,Percival,Atmospheric phys. & chemistry,Closed,NERC,9/30/2011,Research Grant,Standard Grant (FEC),7/1/2008,89232.34
Fundamentals of Computing,University of Edinburgh,LEAD ORGANISATION,Alan,Bundy,Info. & commun. Technol.,Closed,EPSRC,12/31/2011,Research Grant,Standard Research,7/1/2008,381408.24
Climate & Climate Change,Newcastle University,LEAD ORGANISATION,David,Graham,Climate & climate change,Closed,NERC,12/31/2011,Research Grant,Standard Grant (FEC),7/1/2008,579370.05
Materials Characterisation,Georgia Institute of Technology,PROJECT PARTNER,George,Briggs,Materials sciences,Closed,EPSRC,12/31/2011,Research Grant,Standard Research,7/1/2008,742248.72
Materials Synthesis & Growth,Zarlink Semiconductor,PROJECT PARTNER,Cornelis Hendrik,de Groot,Materials sciences,Closed,EPSRC,12/31/2011,Research Grant,Standard Research,7/1/2008,308696.59
Gas & Solution Phase Reactions,Princeton University,COLLABORATOR,Peter,Barker,,Closed,EPSRC,6/30/2012,Research Grant,Standard Research,7/1/2008,1252039.22
Pollution,University of Edinburgh,LEAD ORGANISATION,Paul,Palmer,,Closed,NERC,9/30/2012,Research Grant,Standard Grant (FEC),7/1/2008,338315.21
Materials Characterisation,University College London,LEAD ORGANISATION,Malcolm,Grant,Materials sciences,Closed,EPSRC,12/31/2012,Research Grant,Standard Research,7/1/2008,307810.368
Materials Processing,Loughborough University,COLLABORATOR,William Edward (Bill),Lee,Materials processing,Closed,EPSRC,6/30/2013,Research Grant,Science and Innovation Awards,7/1/2008,5434535.07
Optoelect. Devices & Circuits,Qinetiq Ltd,PROJECT PARTNER,Robert,Kelsall,Electrical engineering,Closed,EPSRC,12/31/2013,Research Grant,Standard Research,7/1/2008,588714.14
Surfaces & Interfaces,University of Sheffield,LEAD ORGANISATION,Ramin,Golestanian,Catalysis & surfaces,Closed,EPSRC,6/30/2010,Research Grant,Standard Research,7/2/2008,73337.32
Aerodynamics,University of Birmingham,LEAD ORGANISATION,Christopher,Baker,Mechanical engineering,Closed,EPSRC,7/6/2011,Research Grant,Standard Research,7/7/2008,436318
Catalysis & Applied Catalysis,University of Cambridge,LEAD ORGANISATION,Adrian,Fisher,Catalysis & surfaces,Closed,EPSRC,7/7/2010,Research Grant,Standard Research,7/8/2008,215918.42
Instrumentation Eng. & Dev.,University of Oxford,LEAD ORGANISATION,Richard Guy,Compton,Chemical measurement,Closed,EPSRC,1/15/2012,Research Grant,Standard Research,7/16/2008,88956.92
Fundamentals of Computing,The University of Manchester,LEAD ORGANISATION,I,Pratt-Hartmann,Info. & commun. Technol.,Closed,EPSRC,9/16/2009,Research Grant,Standard Research,7/17/2008,40055.21
Magnetism/Magnetic Phenomena,University of Sheffield,LEAD ORGANISATION,Daniel,Allwood,"Supercond, magn. &quant.fluids",Closed,EPSRC,7/20/2012,Research Grant,Standard Research,7/21/2008,706379.84
New & Emerging Comp. Paradigms,University of the West of England,LEAD ORGANISATION,Andrew,Adamatzky,Info. & commun. Technol.,Closed,EPSRC,7/22/2009,Research Grant,Standard Research,7/23/2008,95072.26
Materials Characterisation,University of Leeds,LEAD ORGANISATION,Christopher,Marrows,Materials sciences,Closed,EPSRC,11/24/2010,Research Grant,Standard Research,7/25/2008,81522.94
Quantum Fluids & Solids,Royal Holloway; University of London,LEAD ORGANISATION,John,Saunders,"Supercond, magn. &quant.fluids",Closed,EPSRC,10/31/2008,Research Grant,Standard Research,8/1/2008,20039.2
Statistics & Appl. Probability,Loughborough University,LEAD ORGANISATION,John,Ward,,Closed,EPSRC,11/30/2008,Research Grant,Standard Research,8/1/2008,15789.09
Geohazards,Shell UK Ltd,COLLABORATOR,Alexander,Densmore,,Closed,NERC,7/31/2009,Research Grant,Small Grants (FEC),8/1/2008,19492.3
ISIS T1,University of Bath,LEAD ORGANISATION,Paul Robert,Raithby,,Closed,STFC,12/31/2009,Research Grant,Facility Dev Grants,8/1/2008,132396.81
Boundary Layer Meteorology,Swansea University,LEAD ORGANISATION,Natascha,Kljun,Atmospheric phys. & chemistry,Closed,NERC,10/31/2010,Research Grant,New Investigators (FEC),8/1/2008,53759.03
Chemical Synthetic Methodology,University of York,LEAD ORGANISATION,Andy,Tyrrell,,Closed,EPSRC,7/31/2011,Research Grant,Standard Research,8/1/2008,170325.05
Environmental Microbiology,University of Aberdeen,LEAD ORGANISATION,Elizabeth,Baggs,,Closed,NERC,7/31/2011,Research Grant,Directed (Research Programmes),8/1/2008,177778.04
Environmental Microbiology,Swansea University,LEAD ORGANISATION,Kevin,Flynn,,Closed,NERC,7/31/2011,Research Grant,Standard Grant (FEC),8/1/2008,293457.3
Data Handling & Storage,University of St Andrews,LEAD ORGANISATION,Andrew Collier,Cameron,Astronomy Observation,Closed,STFC,7/31/2011,Research Grant,Standard (FEC),8/1/2008,192536.99
Stratospheric Processes,Met Office,PROJECT PARTNER,Kenneth,Carslaw,Atmospheric phys. & chemistry,Closed,NERC,7/31/2011,Research Grant,Standard Grant (FEC),8/1/2008,182198.63
Nuclear structure,University of Birmingham,COLLABORATOR,Jonathan,Billowes,Nuclear physics,Closed,STFC,8/1/2011,Research Grant,Nuclear Physics,8/1/2008,1579024.37
Nuclear Astrophysics,University of York,LEAD ORGANISATION,Robert,Wadsworth,Nuclear physics,Closed,STFC,8/1/2011,Research Grant,Nuclear Physics,8/1/2008,1392365.11
Nuclear structure,University of Surrey,LEAD ORGANISATION,Philip Malzard,Walker,Nuclear physics,Closed,STFC,8/1/2011,Research Grant,Nuclear Physics,8/1/2008,2255622.56
Materials Characterisation,University of Bristol,LEAD ORGANISATION,Antony,Carrington,Materials sciences,Closed,EPSRC,1/31/2012,Research Grant,Standard Research,8/1/2008,549449.64
Medical science & disease,Swansea University,LEAD ORGANISATION,Antonio,Gil,Medical & health interface,Closed,EPSRC,1/31/2012,Research Grant,First Grant Scheme,8/1/2008,246399.48
Materials Characterisation,University of Bristol,LEAD ORGANISATION,Michael,Ashfold,Materials sciences,Closed,EPSRC,4/30/2012,Research Grant,Standard Research,8/1/2008,321902.5
Palaeoenvironments,University of Edinburgh,LEAD ORGANISATION,Simon,Jung,Climate & climate change,Closed,NERC,4/30/2012,Research Grant,New Investigators (FEC),8/1/2008,75256.32
Environmental Genomics,Bangor University,LEAD ORGANISATION,GR,Carvalho,,Closed,NERC,7/31/2012,Research Grant,Directed (Research Programmes),8/1/2008,142283.74
Materials Characterisation,University of York,LEAD ORGANISATION,Matthew,Probert,Materials sciences,Closed,EPSRC,12/31/2012,Research Grant,Standard Research,8/1/2008,393766.72
Parallel Computing,University of Glasgow,LEAD ORGANISATION,Richard,Sinnott,,Closed,EPSRC,7/31/2013,Research Grant,Platform Grants,8/1/2008,353970.83
Chemical Biology,Keele University,LEAD ORGANISATION,Christopher,Exley,,Closed,EPSRC,8/4/2011,Research Grant,Standard Research,8/5/2008,55413.41
Biological & Medicinal Chem.,University of Essex,LEAD ORGANISATION,Paul Samuel,Dobbin,,Closed,EPSRC,8/10/2011,Research Grant,Standard Research,8/11/2008,252851.82
Lasers & Optics,University of Sheffield,LEAD ORGANISATION,Richard,Hogg,"Optics, photonics & lasers",Closed,EPSRC,8/10/2011,Research Grant,Standard Research,8/11/2008,66675.82
Glacial & Cryospheric Systems,Columbia University,COLLABORATOR,Adrian,Jenkins,,Closed,NERC,3/31/2013,Research Grant,Standard Grant (FEC),8/11/2008,405361.68
Image & Vision Computing,University of Lincoln,COLLABORATOR,Philip,Evans,Info. & commun. Technol.,Closed,EPSRC,8/11/2011,Research Grant,Standard Research,8/12/2008,347577.34
Drug Formulation & Delivery,University College London,LEAD ORGANISATION,Alexander,MacRobert,Medical & health interface,Closed,EPSRC,8/18/2011,Research Grant,Standard Research,8/19/2008,186303.78
Co-ordination Chemistry,University of Southampton,LEAD ORGANISATION,William,Levason,,Closed,EPSRC,12/25/2010,Research Grant,Standard Research,8/26/2008,213424.45
Cold Atomic Species,University of Leeds,LEAD ORGANISATION,Jacob,Dunningham,Atomic & molecular physics,Closed,EPSRC,8/26/2011,Research Grant,Standard Research,8/27/2008,98178.01
Climate & Climate Change,University of Glasgow,LEAD ORGANISATION,Susan,Waldron,Climate & climate change,Closed,NERC,6/26/2014,Research Grant,Consortiums (FEC),8/27/2008,421523.93
Heat & Mass Transfer,University of Toronto,COLLABORATOR,Khellil,Sefiane,Mechanical engineering,Closed,EPSRC,11/30/2008,Research Grant,Overseas Travel Grants (OTGS),9/1/2008,23322.76
Fundamentals of Computing,University of Sussex,LEAD ORGANISATION,Bernhard,Reus,Info. & commun. Technol.,Closed,EPSRC,11/30/2008,Research Grant,Standard Research,9/1/2008,9352
Medical science & disease,University College London,LEAD ORGANISATION,Ian,Eames,Medical & health interface,Closed,EPSRC,7/31/2009,Research Grant,Standard Research,9/1/2008,8277.6
Glacial & Cryospheric Systems,University of Edinburgh,LEAD ORGANISATION,Andrew,Shepherd,,Closed,NERC,7/31/2009,Research Grant,AFI (FEC),9/1/2008,303054.2
Solar Technology,University of Nottingham,LEAD ORGANISATION,Sergei,Novikov,Energy,Closed,EPSRC,8/31/2009,Research Grant,Standard Research,9/1/2008,43745.18
System on Chip,Newcastle University,LEAD ORGANISATION,Alexandre,Yakovlev,Info. & commun. Technol.,Closed,EPSRC,11/30/2009,Research Grant,Follow on Fund,9/1/2008,120644.5
Geohazards,University of Aberdeen,LEAD ORGANISATION,Robert,Butler,,Closed,NERC,3/31/2010,Research Grant,Knowledge Exchange (FEC),9/1/2008,146144.8
Digital Signal Processing,Lancaster University,LEAD ORGANISATION,Zhiguo,Ding,Info. & commun. Technol.,Closed,EPSRC,5/31/2010,Research Grant,First Grant Scheme,9/1/2008,230180.08
Climate & Climate Change,NERC British Geological Survey,LEAD ORGANISATION,George,Swann,Climate & climate change,Closed,NERC,1/1/2011,Fellowship,Postdoctoral Fellow (FEC),9/1/2008,257896.86
Intelligent & Expert Systems,Technology Strategy Board,COFUNDER,J,Barlow,Systems engineering,Closed,EPSRC,8/31/2011,Research Grant,Technology Programme,9/1/2008,250947.09
Logic & Combinatorics,Imperial College London,LEAD ORGANISATION,Ian,Hodkinson,,Closed,EPSRC,8/31/2011,Research Grant,Standard Research,9/1/2008,287207.79
Scattering & Spectroscopy,University College London,LEAD ORGANISATION,Tania,Monteiro,Atomic & molecular physics,Closed,EPSRC,8/31/2011,Research Grant,Standard Research,9/1/2008,64858.02
Digital Signal Processing,University of St Andrews,LEAD ORGANISATION,Kevin,Hammond,Info. & commun. Technol.,Closed,EPSRC,8/31/2011,Research Grant,Standard Research,9/1/2008,101605.15
Magnetism/Magnetic Phenomena,University of Huddersfield,LEAD ORGANISATION,Robert,Cywinski,"Supercond, magn. &quant.fluids",Closed,EPSRC,9/30/2011,Research Grant,Standard Research,9/1/2008,128727.38
Optoelect. Devices & Circuits,Jacobs University Bremen,PROJECT PARTNER,Thomas,Anthopoulos,Electrical engineering,Closed,EPSRC,9/30/2011,Research Grant,Standard Research,9/1/2008,463772.19
Environmental Microbiology,University of Southampton,LEAD ORGANISATION,Eric,Achterberg,,Closed,NERC,10/31/2011,Research Grant,Standard Grant (FEC),9/1/2008,108329.86
Materials Characterisation,University of Sheffield,LEAD ORGANISATION,Steven,Armes,Materials sciences,Closed,EPSRC,12/31/2011,Research Grant,Standard Research,9/1/2008,304611.24
Materials testing & eng.,Defence Science & Tech Lab DSTL,COFUNDER,Philip,Withers,Civil eng. & built environment,Closed,EPSRC,2/29/2012,Research Grant,Standard Research,9/1/2008,360203.63
System on Chip,Imperial College London,LEAD ORGANISATION,Murray,Shanahan,Info. & commun. Technol.,Closed,EPSRC,2/29/2012,Research Grant,Standard Research,9/1/2008,628211.1
Materials Characterisation,University College London,LEAD ORGANISATION,Ivan,Parkin,Materials sciences,Closed,EPSRC,2/29/2012,Research Grant,Standard Research,9/1/2008,166367.55
Ecosystem Scale Processes,University of Leeds,LEAD ORGANISATION,Jonathan,Lloyd,Terrest. & freshwater environ.,Closed,NERC,2/29/2012,Research Grant,Standard Grant (FEC),9/1/2008,143198.18
Materials Characterisation,IMEC - REALITY,PROJECT PARTNER,Thomas,Walther,Materials sciences,Closed,EPSRC,2/29/2012,Research Grant,Standard Research,9/1/2008,306312.28
Data Handling & Storage,Keele University,LEAD ORGANISATION,Coel,Hellier,Astronomy Observation,Closed,STFC,3/31/2012,Research Grant,Standard (FEC),9/1/2008,439090.58
Accelerator R&D,Brunel University,LEAD ORGANISATION,Paul,Kyberd,Facility Deevelopment,Closed,STFC,3/31/2012,Research Grant,Standard (FEC),9/1/2008,309018.36
Condensed Matter Physics,University of St Andrews,LEAD ORGANISATION,Graham,Smith,"Supercond, magn. &quant.fluids",Closed,EPSRC,10/31/2012,Research Grant,Standard Research,9/1/2008,994435.35
Materials Processing,Brunel University,LEAD ORGANISATION,Jack,Silver,Materials processing,Closed,EPSRC,11/30/2012,Research Grant,Technology Programme,9/1/2008,461183.38
Climate & Climate Change,NERC British Antarctic Survey,LEAD ORGANISATION,Alberto,Naveira Garabato,Climate & climate change,Closed,NERC,12/31/2012,Research Grant,AFI (FEC),9/1/2008,136185.83
Scattering & Spectroscopy,Imperial College London,LEAD ORGANISATION,John,Tisch,Atomic & molecular physics,Closed,EPSRC,1/31/2013,Research Grant,Standard Research,9/1/2008,996355.69
Software Engineering,University of Glasgow,LEAD ORGANISATION,Muffy,Calder,,Closed,EPSRC,2/28/2013,Research Grant,Standard Research,9/1/2008,470409.53
Med.Instrument.Device& Equip.,University of Oxford,LEAD ORGANISATION,Constantin,Coussios,Medical & health interface,Closed,EPSRC,12/22/2013,Research Grant,Standard Research,9/1/2008,589916.47
Networks & Distributed Systems,University of Edinburgh,LEAD ORGANISATION,Malcolm,Atkinson,,Closed,EPSRC,2/28/2014,Research Grant,Platform Grants,9/1/2008,479505.6
Materials testing & eng.,The University of Manchester,LEAD ORGANISATION,Philip,Withers,Civil eng. & built environment,Closed,EPSRC,2/28/2014,Research Grant,Platform Grants,9/1/2008,1370186.186
Biogeochemical Cycles,University of East Anglia,LEAD ORGANISATION,Alberto,Naveira Garabato,,Closed,NERC,3/31/2014,Research Grant,AFI (FEC),9/1/2008,460619.13
Earth Surface Processes,NERC British Geological Survey,LEAD ORGANISATION,John Gareth,Rees,,Closed,NERC,3/31/2014,Research Grant,Theme Leader (FEC),9/1/2008,414678.898
Extra-Galactic Astron.&Cosmol.,Durham University,FELLOW,Liang,Gao,,Closed,STFC,8/31/2015,Fellowship,Advanced Fellowship (FEC),9/1/2008,310395.65
VLSI Design,University of Auckland,COLLABORATOR,Alan,Murray,Info. & commun. Technol.,Closed,EPSRC,9/6/2009,Research Grant,Follow on Fund,9/7/2008,102652.01
Med.Instrument.Device& Equip.,King's College London,LEAD ORGANISATION,Arnie,Purushotham,Medical & health interface,Closed,EPSRC,9/7/2011,Research Grant,Technology Programme,9/8/2008,261813.23
Hydrological Processes,Lancaster University,LEAD ORGANISATION,Andrew,Jarvis,,Closed,NERC,11/30/2011,Research Grant,Standard Grant (FEC),9/8/2008,193517.8
Materials Characterisation,University of Salford,LEAD ORGANISATION,David,Sheel,Materials sciences,Closed,EPSRC,3/7/2012,Research Grant,Standard Research,9/8/2008,109499.99
Beyond the Standard Model,Queen Mary University of London (QMUL),COLLABORATOR,Edward,Glover,Particle physics - experiment,Closed,STFC,3/31/2011,Research Grant,PPRP,9/10/2008,32900
Complex fluids & soft solids,University of Strathclyde,LEAD ORGANISATION,Mark,Haw,Catalysis & surfaces,Closed,EPSRC,10/14/2009,Research Grant,First Grant Scheme,9/15/2008,94212.95
Materials Processing,University of Southampton,LEAD ORGANISATION,Dmitry,Bavykin,Materials processing,Closed,EPSRC,9/14/2010,Research Grant,First Grant Scheme,9/15/2008,303406.21
RF & Microwave Technology,University of Sheffield,LEAD ORGANISATION,R,Langley,Info. & commun. Technol.,Closed,EPSRC,3/13/2012,Research Grant,Standard Research,9/15/2008,325189.51
Nuclear structure,University of York,LEAD ORGANISATION,Michael,Bentley,Nuclear physics,Closed,STFC,9/15/2009,Research Grant,Standard (FEC),9/16/2008,33393.17
Fundamentals of Computing,Durham University,LEAD ORGANISATION,Andrei,Krokhin,Info. & commun. Technol.,Closed,EPSRC,11/16/2010,Research Grant,Standard Research,9/17/2008,26145.04
Biomedical neuroscience,The University of Manchester,LEAD ORGANISATION,Julian,Matthews,Medical & health interface,Closed,EPSRC,9/22/2012,Research Grant,Standard Research,9/23/2008,411318.64
Co-ordination Chemistry,University of Oxford,LEAD ORGANISATION,Jason,Davis,,Closed,EPSRC,7/24/2012,Research Grant,Standard Research,9/25/2008,306357.5
Conservation Ecology,University of Sheffield,LEAD ORGANISATION,Thomas,Webb,,Closed,NERC,3/28/2010,Research Grant,Directed (Research Programmes),9/29/2008,60854.16
Optical Communications,Royal Institute of Technology (KTH); Stockholm,COLLABORATOR,David,Richardson,Info. & commun. Technol.,Closed,EPSRC,9/29/2011,Research Grant,Standard Research,9/30/2008,273373.72
Atmospheric Kinetics,University of Leicester,LEAD ORGANISATION,Paul,Monks,Atmospheric phys. & chemistry,Closed,NERC,4/30/2013,Research Grant,Consortiums (FEC),9/30/2008,384221.07
Condensed Matter Physics,Accelrys Limited,PROJECT PARTNER,Christopher,Pickard,"Supercond, magn. &quant.fluids",Closed,EPSRC,12/31/2008,Fellowship,Leadership Fellowships,10/1/2008,1360329.32
Analytical Science,University College London,LEAD ORGANISATION,Ruth,Morgan,"Tools, technologies & methods",Closed,EPSRC,12/31/2008,Research Grant,Overseas Travel Grants (OTGS),10/1/2008,9592.92
Climate & Climate Change,University of East Anglia,LEAD ORGANISATION,Alexander,Baker,Climate & climate change,Closed,NERC,5/31/2009,Research Grant,Directed (Research Programmes),10/1/2008,49540.99
Materials Characterisation,University of Cambridge,LEAD ORGANISATION,Mark,Warner,Materials sciences,Closed,EPSRC,9/30/2009,Research Grant,Standard Research,10/1/2008,78744.25
Aerodynamics,University of Bristol,LEAD ORGANISATION,Christian,Allen,Mechanical engineering,Closed,EPSRC,9/30/2009,Research Grant,Follow on Fund,10/1/2008,123878.13
Technol. for Environ. Appl.,University of St Andrews,LEAD ORGANISATION,Andrew,Brierley,,Closed,NERC,9/30/2009,Research Grant,Small Grants (FEC),10/1/2008,225681.33
Beyond the Standard Model,University of Cambridge,LEAD ORGANISATION,Michael Andrew,Parker,Particle physics - experiment,Closed,STFC,9/30/2009,Research Grant,Mini IPS (fEC),10/1/2008,83897.28
Cosmology,University of Sheffield,LEAD ORGANISATION,Jo Shien,Ng,Particle astrophysics,Closed,STFC,12/31/2009,Research Grant,D and S IPS,10/1/2008,44134.87
Cosmology,Hovemere Ltd,LEAD ORGANISATION,Jonathan,Storey,Particle astrophysics,Closed,STFC,12/31/2009,Research Grant,Industrial Agreement,10/1/2008,44511.6
Materials Characterisation,Her Majesty's Government Communications,COLLABORATOR,Anthony,Krier,Materials sciences,Closed,EPSRC,3/31/2010,Research Grant,Standard Research,10/1/2008,73530.54
